 allocated memory at: 0x61f000
after memory allocation
after identifying candidate routines
after chaining all branch targets
after setting initial estimated new ins addrs in tc
jump to orig addr: 0x4011b0 : 0x401334: call qword ptr [rip+0x1e06bed]
jump to orig addr: 0x4010e0 : 0x401668: call qword ptr [rip+0x1e06891]
jump to orig addr: 0x401130 : 0x401679: call qword ptr [rip+0x1e06887]
jump to orig addr: 0x401180 : 0x4016a1: call qword ptr [rip+0x1e06866]
jump to orig addr: 0x401240 : 0x4016c2: call qword ptr [rip+0x1e06845]
jump to orig addr: 0x4010f0 : 0x4016f9: call qword ptr [rip+0x1e06815]
jump to orig addr: 0x4010f0 : 0x401710: call qword ptr [rip+0x1e067fd]
jump to orig addr: 0x4011a0 : 0x401774: call qword ptr [rip+0x1e0679c]
jump to orig addr: 0x401110 : 0x4017ad: call qword ptr [rip+0x1e06763]
jump to orig addr: 0x4010f0 : 0x4017bf: call qword ptr [rip+0x1e06740]
jump to orig addr: 0x4010f0 : 0x401858: call qword ptr [rip+0x1e0669e]
jump to orig addr: 0x401230 : 0x40186f: call qword ptr [rip+0x1e0669e]
jump to orig addr: 0x401120 : 0x40189b: call qword ptr [rip+0x1e06675]
jump to orig addr: 0x4010f0 : 0x4018cd: call qword ptr [rip+0x1e06622]
jump to orig addr: 0x401120 : 0x4018e4: call qword ptr [rip+0x1e0662a]
jump to orig addr: 0x4012d0 : 0x401931: call qword ptr [rip+0x1e065dc]
jump to orig addr: 0x4011f0 : 0x401a5f: call qword ptr [rip+0x1e064b5]
jump to orig addr: 0x4010f0 : 0x401b30: call qword ptr [rip+0x1e0638f]
jump to orig addr: 0x4010f0 : 0x401b47: call qword ptr [rip+0x1e06377]
jump to orig addr: 0x4012d0 : 0x401c0a: call qword ptr [rip+0x1e062c9]
jump to orig addr: 0x4010f0 : 0x401c19: call qword ptr [rip+0x1e06291]
jump to orig addr: 0x4010e0 : 0x401ca2: call qword ptr [rip+0x1e061df]
jump to orig addr: 0x401130 : 0x401cb3: call qword ptr [rip+0x1e061d5]
jump to orig addr: 0x4010f0 : 0x401d14: call qword ptr [rip+0x1e06187]
jump to orig addr: 0x401120 : 0x401d2b: call qword ptr [rip+0x1e0618f]
jump to orig addr: 0x4010f0 : 0x401d47: call qword ptr [rip+0x1e06152]
jump to orig addr: 0x401230 : 0x401d5e: call qword ptr [rip+0x1e06152]
jump to orig addr: 0x401120 : 0x401d8a: call qword ptr [rip+0x1e06129]
jump to orig addr: 0x4012d0 : 0x401dd6: call qword ptr [rip+0x1e060e0]
jump to orig addr: 0x401170 : 0x401dff: call qword ptr [rip+0x1e060c6]
jump to orig addr: 0x401110 : 0x401e38: call qword ptr [rip+0x1e0605d]
jump to orig addr: 0x4010f0 : 0x401e4a: call qword ptr [rip+0x1e0603a]
jump to orig addr: 0x4012d0 : 0x401e79: call qword ptr [rip+0x1e0602e]
jump to orig addr: 0x4010f0 : 0x401e88: call qword ptr [rip+0x1e05ff6]
jump to orig addr: 0x401120 : 0x401f18: call qword ptr [rip+0x1e05f66]
jump to orig addr: 0x401120 : 0x401f37: call qword ptr [rip+0x1e05f42]
jump to orig addr: 0x4011f0 : 0x401f74: call qword ptr [rip+0x1e05f09]
jump to orig addr: 0x4010f0 : 0x401fc1: call qword ptr [rip+0x1e05e88]
jump to orig addr: 0x4010e0 : 0x4020cf: call qword ptr [rip+0x1e05d4b]
jump to orig addr: 0x401130 : 0x4020e0: call qword ptr [rip+0x1e05d41]
jump to orig addr: 0x4010f0 : 0x402141: call qword ptr [rip+0x1e05cf3]
jump to orig addr: 0x401120 : 0x402158: call qword ptr [rip+0x1e05cfb]
jump to orig addr: 0x4012d0 : 0x40218e: call qword ptr [rip+0x1e05cc8]
jump to orig addr: 0x4011f0 : 0x4021de: call qword ptr [rip+0x1e05c78]
jump to orig addr: 0x4012d0 : 0x402228: call qword ptr [rip+0x1e05c1f]
jump to orig addr: 0x4012d0 : 0x402255: call qword ptr [rip+0x1e05bf1]
