 allocated memory at: 0x60217cd28000
after memory allocation
after identifying candidate routines
after chaining all branch targets
after setting initial estimated new ins addrs in tc
jump to orig addr: 0x60217c4aa6e8 : 0x60217c4b5da6: jmp 0x60217c4aa6e8
jump to orig addr: 0x60217c588f7a : 0x60217c4b6091: call 0x60217c588f7a
jump to orig addr: 0x60217c588f7a : 0x60217c4b616c: call 0x60217c588f7a
jump to orig addr: 0x60217c4aa650 : 0x60217c4b6320: call 0x60217c4aa650
jump to orig addr: 0x60217c4aa6e8 : 0x60217c4b632a: call 0x60217c4aa6e8
jump to orig addr: 0x60217c4aa630 : 0x60217c4b64d6: call 0x60217c4aa630
jump to orig addr: 0x60217c4aa650 : 0x60217c4b652f: call 0x60217c4aa650
jump to orig addr: 0x60217c4aa630 : 0x60217c4b6541: call 0x60217c4aa630
jump to orig addr: 0x60217c89d143 : 0x60217c4b6556: call 0x60217c89d143
jump to orig addr: 0x60217c8a6d2e : 0x60217c4b6710: call 0x60217c8a6d2e
jump to orig addr: 0x60217c4aa680 : 0x60217c4b6e2c: call 0x60217c4aa680
jump to orig addr: 0x60217c4aa510 : 0x60217c4b7227: call 0x60217c4aa510
jump to orig addr: 0x60217c4aa2e0 : 0x60217c4b7250: call 0x60217c4aa2e0
jump to orig addr: 0x60217c4aa680 : 0x60217c4b7262: call 0x60217c4aa680
jump to orig addr: 0x60217c4aa2e0 : 0x60217c4b7295: call 0x60217c4aa2e0
jump to orig addr: 0x60217c4aa680 : 0x60217c4b72ae: call 0x60217c4aa680
jump to orig addr: 0x60217c4aa6e8 : 0x60217c4b73c8: call 0x60217c4aa6e8
jump to orig addr: 0x60217c4aa470 : 0x60217c4b752d: call 0x60217c4aa470
jump to orig addr: 0x60217c4aa680 : 0x60217c4b7691: call 0x60217c4aa680
jump to orig addr: 0x60217c4f68a1 : 0x60217c4b7908: call 0x60217c4f68a1
jump to orig addr: 0x60217c4aa6f8 : 0x60217c4b795d: call 0x60217c4aa6f8
jump to orig addr: 0x60217c4aa680 : 0x60217c4b7a1c: call 0x60217c4aa680
jump to orig addr: 0x60217c4aa680 : 0x60217c4b7a31: call 0x60217c4aa680
jump to orig addr: 0x60217c4aa6f8 : 0x60217c4b7a5e: call 0x60217c4aa6f8
jump to orig addr: 0x60217c4aa6f8 : 0x60217c4b7a87: call 0x60217c4aa6f8
jump to orig addr: 0x60217c997dc8 : 0x60217c4b7b0e: call 0x60217c997dc8
jump to orig addr: 0x60217c4aa6f8 : 0x60217c4b7b31: call 0x60217c4aa6f8
jump to orig addr: 0x60217c4aa6f8 : 0x60217c4b7b44: call 0x60217c4aa6f8
jump to orig addr: 0x60217c4aa6f8 : 0x60217c4b7b57: call 0x60217c4aa6f8
jump to orig addr: 0x60217c4aa6f8 : 0x60217c4b7b6a: call 0x60217c4aa6f8
jump to orig addr: 0x60217c997dc8 : 0x60217c4b7ce0: call 0x60217c997dc8
jump to orig addr: 0x60217c997dc8 : 0x60217c4b7d3a: call 0x60217c997dc8
jump to orig addr: 0x60217c4b7c99 : 0x60217c4b7e7c: call 0x60217c4b7c99
jump to orig addr: 0x60217c4b7c99 : 0x60217c4b7e91: call 0x60217c4b7c99
jump to orig addr: 0x60217c4b7c99 : 0x60217c4b7eae: call 0x60217c4b7c99
jump to orig addr: 0x60217c4b7c99 : 0x60217c4b7ec4: call 0x60217c4b7c99
jump to orig addr: 0x60217c4b7c99 : 0x60217c4b7eda: call 0x60217c4b7c99
jump to orig addr: 0x60217c4b7c99 : 0x60217c4b7ef0: call 0x60217c4b7c99
jump to orig addr: 0x60217c4b7c99 : 0x60217c4b7f06: call 0x60217c4b7c99
jump to orig addr: 0x60217c4b7c99 : 0x60217c4b7f1c: call 0x60217c4b7c99
jump to orig addr: 0x60217c4b7c99 : 0x60217c4b7f32: call 0x60217c4b7c99
jump to orig addr: 0x60217c4b7c99 : 0x60217c4b7f4c: call 0x60217c4b7c99
jump to orig addr: 0x60217c4b7c99 : 0x60217c4b7f76: call 0x60217c4b7c99
jump to orig addr: 0x60217c4aa6f8 : 0x60217c4b806a: call 0x60217c4aa6f8
jump to orig addr: 0x60217c4aa6f8 : 0x60217c4b807d: call 0x60217c4aa6f8
jump to orig addr: 0x60217c4aa6f8 : 0x60217c4b8395: call 0x60217c4aa6f8
jump to orig addr: 0x60217c4aa6f8 : 0x60217c4b83a8: call 0x60217c4aa6f8
